0;AAAI 2022;Siddhant Arora;Explain, Edit, and Understand: Rethinking User Study Design for Evaluating Model Explanations
1;AAAI 2021;Yangming Li;Interpretable NLG for Task-oriented Dialogue Systems with Heterogeneous Rendering Machines
2;AAAI 2021;Seojin Bang;Explaining A Black-box By Using A Deep Variational Information Bottleneck Approach
3;AAAI 2019;Jingyue Gao;Explainable Recommendation through Attentive Multi-View Learning
4;CHI 2022;Wencan Zhang;Towards Relatable Explainable AI with the Perceptual Process
5;CHI 2022;Cecilia Panigutti;Understanding the impact of explanations on advice-taking: a user study for AI-based clinical Decision Support Systems
6;CHI 2022;Sophia Hadash;Improving understandability of feature contributions in model-agnostic explainable AI tools
7;CHI 2022;Su-Fang Yeh;How to Guide Task-oriented Chatbot Users, and When: A Mixed-methods Study of Combinations of Chatbot Guidance Types and Timings
8;CHI 2022;Mengqi Liao;User Trust in Recommendation Systems: A comparison of Content-Based, Collaborative and Demographic Filtering
9;CHI 2022;Wencan Zhang;Debiased-CAM to mitigate image perturbations with faithful visual explanations of machine learning
10;CHI 2022;Yunlong Wang;Interpretable Directed Diversity: Leveraging Model Explanations for Iterative Crowd Ideation
11;CHI 2022;Agathe Balayn;How can Explainability Methods be Used to Support Bug Identification in Computer Vision Models?
12;CHI 2021;Gagan Bansal;Does the Whole Exceed its Parts? The Effect of AI Explanations on Complementary Team Performance
13;CHI 2021;Andrew Slavin Ross;Evaluating the Interpretability of Generative Models by Interactive Reconstruction
14;CHI 2021;Ariful Islam Anik;Data-Centric Explanations: Explaining Training Data of Machine Learning Systems to Promote Transparency
15;CHI 2021;Chun-Hua Tsai;Exploring and Promoting Diagnostic Transparency and Explainability in Online Symptom Checkers
16;CHI 2021;Tobias Schneider;ExplAIn Yourself! Transparency for Positive UX in Autonomous Driving
17;CHI 2021;Mark Colley;Effects of Semantic Segmentation Visualization on Trust, Situation Awareness, and Cognitive Load in Highly Automated Vehicles
18;CHI 2021;Forough Poursabzi-Sangdeh;Manipulating and Measuring Model Interpretability
19;CHI 2021;Marissa Radensky;Exploring The Role of Local and Global Explanations in Recommender Systems
20;CHI 2021;David Gray Widder;Trust in Collaborative Automation in High Stakes Software Engineering Work: A Case Study at NASA
21;CHI 2021;Hyanghee Park;Human-AI Interaction in Human Resource Management: Understanding Why Employees Resist Algorithmic Evaluation at Workplaces and How to Mitigate Burdens
22;CHI 2021;Mengqi Liao;How Should AI Systems Talk to Users when Collecting their Personal Information? Effects of Role Framing and Self-Referencing on Human-AI Interaction
23;CHI 2021;Upol Ehsan;Expanding Explainability: Towards Social Transparency in AI systems
24;CHI 2020;Alison Marie Smith-Renner;No Explainability without Accountability: An Empirical Study of Explanations and Feedback in Interactive ML
25;CHI 2020;Yao Xie;CheXplain: Enabling Physicians to Explore and Understand Data-Driven, AI-Enabled Medical Imaging Analysis
26;CHI 2020;Vivian Lai;Why is 'Chicago' deceptive? Towards Building Model-Driven Tutorials for Humans
27;CHI 2020;Harmanpreet Kaur;Interpreting Interpretability: Understanding Data Scientists' Use of Interpretability Tools for Machine Learning
28;CHI 2020;Ashraf Abdul;COGAM: Measuring and Moderating Cognitive Load in Machine Learning Model Explanations
29;CHI 2020;Dae Hyun Kim;Answering Questions about Charts and Generating Visual Explanations
30;CHI 2020;Q. Vera Liao;Questioning the AI: Informing Design Practices for Explainable AI User Experiences
31;CHI 2019;Haofei Cheng;Explaining Decision-Making Algorithms through UI: Strategies to Help Non-Expert Stakeholders
32;CHI 2019;Danding Wang;Designing Theory-Driven User-Centric Explainable AI
33;CHI 2019;Fred Hohman;Gamut: A Design Probe to Understand How Data Scientists Understand Machine Learning Models
34;CHI 2019;Ming Yin;Understanding the Effect of Accuracy on Trust in Machine Learning Models
35;CHI 2019;Johannes Kunkel;Let Me Explain: Impact of Personal and Impersonal Explanations on Trust in Recommender Systems
36;CHI 2018;Jonathan Dodge;How the Experts Do It: Assessing and Explaining Agent Behaviors in Real-Time Strategy Games
37;CHI 2018;Emilee Rader;Explanations as Mechanisms for Supporting Algorithmic Transparency
38;CHI 2018;Pierre Le Bras;Improving User Confidence in Concept Maps: Exploring Data Driven Explanations
39;CSCW 2021;Zana Bucinca;To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making
40;CSCW 2021;Jakob Schoeffer;Appropriate Fairness Perceptions? On the Effectiveness of Explanations in Enabling People to Assess the Fairness of Automated Decision Systems
41;FAccT 2022;Hendrik Schuff;Human Interpretation of Saliency-based Explanation Over Text
42;FAccT 2022;Andrew Bell;It's Just Not That Simple: An Empirical Study of the Accuracy-Explainability Trade-off in Machine Learning for Public Policy
43;FAccT 2022;Ulrike Kuhl;Keep Your Friends Close and Your Counterfactuals Closer: Improved Learning From Closest Rather Than Plausible Counterfactual Explanations in an Abstract Setting
44;FAccT 2022;Jakob Schoeffer;There Is Not Enough Information: On the Effects of Explanations on Perceptions of Informational Fairness and Trustworthiness in Automated Decision-Making
45;FAccT 2022;Ruoxi Shang;Why Am I Not Seeing It? Understanding Users' Needs for Counterfactual Explanations in Everyday Recommendations
46;FAT 2020;Galen Harrison;An Empirical Study on the Perceived Fairness of Realistic, Imperfect Machine Learning Models
47;FAT 2019;Vivian Lai;On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection
48;ICLR 2022;Leon Sixt;Do Users Benefit From Interpretable Vision? A User Study, Baseline, And Dataset
49;ICLR 2021;Javier Antoran;Getting a CLUE: A Method for Explaining Uncertainty Estimates
50;ICLR 2021;Zhen Han;Explainable Subgraph Reasoning for Forecasting on Temporal Knowledge Graphs
51;ICLR 2021;Judy Borowski;Exemplary Natural Images Explain CNN Activations Better than State-of-the-Art Feature Visualization
52;ICLR 2020;Nikaash Puri;Explain Your Move: Understanding Agent Actions Using Specific and Relevant Feature Attribution
53;ICLR 2019;Seung Wook Kim;Visual Reasoning by Progressive Module Networks
54;IUI 2022;Francisco Gutierrez;Explaining Call Recommendations in Nursing Homes: a User-Centered Design Approach for Interacting with Knowledge-Based Health Decision Support Systems
55;IUI 2022;Jeroen Ooge;Explaining Recommendations in E-Learning: Effects on Adolescents' Trust
56;IUI 2022;Clarice Wang;Do Humans Prefer Debiased AI Algorithms? A Case Study in Career Recommendation
57;IUI 2022;Lijie Guo;Building Trust in Interactive Machine Learning via User Contributed Interpretable Rules
